SCORE;POPULATION_SIZE;CHILDREN_SIZE;PARENTS_SIZE;ARITHMETIC_XOVER_N_PARENTS;MUTATION_PROBABILITY;N_SURVIVORS;TOURNAMENT_SIZE;ARITHMETIC_RECOMB_ALPHA;MUTATION_A;MUTATION_B;MUTATION_EPSILON
9.999913683165213;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.5;1e-11;HALTED_BAD_RESULT
9.999807358600686;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.61111111111;1e-11;HALTED_BAD_RESULT
9.999906398627331;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.72222222222;1e-11;HALTED_BAD_RESULT
9.99992609453043;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.83333333333;1e-11;HALTED_BAD_RESULT
9.999858698894235;300;10;0.7;2;0.55333;100;3;0.11;1.5;1.94444444444;1e-11;HALTED_BAD_RESULT
9.999730295716887;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.05555555556;1e-11;HALTED_BAD_RESULT
9.999813787476844;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.16666666667;1e-11;HALTED_BAD_RESULT
9.999845867702662;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.27777777778;1e-11;HALTED_BAD_RESULT
9.999875319925716;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.38888888889;1e-11;HALTED_BAD_RESULT
9.999832988545625;300;10;0.7;2;0.55333;100;3;0.11;1.5;2.5;1e-11;HALTED_BAD_RESULT
9.999900523274617;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.5;1e-11;HALTED_BAD_RESULT
9.999880327491788;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.61111111111;1e-11;HALTED_BAD_RESULT
9.999891172050974;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.72222222222;1e-11;HALTED_BAD_RESULT
9.999781731433595;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.83333333333;1e-11;HALTED_BAD_RESULT
9.999910039521444;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;1.94444444444;1e-11;HALTED_BAD_RESULT
9.999849519960462;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.05555555556;1e-11;HALTED_BAD_RESULT
9.999840205134241;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.16666666667;1e-11;HALTED_BAD_RESULT
9.999873410574875;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.27777777778;1e-11;HALTED_BAD_RESULT
9.999806727102603;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.38888888889;1e-11;HALTED_BAD_RESULT
9.99992812042689;300;10;0.7;2;0.55333;100;3;0.11;1.61111111111;2.5;1e-11;HALTED_BAD_RESULT
9.999895361615943;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.5;1e-11;HALTED_BAD_RESULT
9.999943469712173;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.61111111111;1e-11;HALTED_BAD_RESULT
9.99988880395582;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.72222222222;1e-11;HALTED_BAD_RESULT
9.999865293972988;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.83333333333;1e-11;HALTED_BAD_RESULT
9.999935511991264;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;1.94444444444;1e-11;HALTED_BAD_RESULT
9.999882667768446;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.05555555556;1e-11;HALTED_BAD_RESULT
9.999922546449923;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.16666666667;1e-11;HALTED_BAD_RESULT
9.999811749933713;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.27777777778;1e-11;HALTED_BAD_RESULT
9.999894013031449;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.38888888889;1e-11;HALTED_BAD_RESULT
9.999862771159151;300;10;0.7;2;0.55333;100;3;0.11;1.72222222222;2.5;1e-11;HALTED_BAD_RESULT
9.999895522244723;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.5;1e-11;HALTED_BAD_RESULT
9.999944035949186;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.61111111111;1e-11;HALTED_BAD_RESULT
9.999900019545084;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.72222222222;1e-11;HALTED_BAD_RESULT
9.999910648413938;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.83333333333;1e-11;HALTED_BAD_RESULT
9.999915659624223;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;1.94444444444;1e-11;HALTED_BAD_RESULT
9.999878701355845;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.05555555556;1e-11;HALTED_BAD_RESULT
9.999878387498672;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.16666666667;1e-11;HALTED_BAD_RESULT
9.999907240945523;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.27777777778;1e-11;HALTED_BAD_RESULT
9.999756561958117;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.38888888889;1e-11;HALTED_BAD_RESULT
9.999927805241152;300;10;0.7;2;0.55333;100;3;0.11;1.83333333333;2.5;1e-11;HALTED_BAD_RESULT
9.999930827331498;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.5;1e-11;HALTED_BAD_RESULT
9.999889254255487;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.61111111111;1e-11;HALTED_BAD_RESULT
9.999916522261909;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.72222222222;1e-11;HALTED_BAD_RESULT
9.999928453309488;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.83333333333;1e-11;HALTED_BAD_RESULT
9.999915089374644;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;1.94444444444;1e-11;HALTED_BAD_RESULT
9.99984952976328;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.05555555556;1e-11;HALTED_BAD_RESULT
9.999936758236144;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.16666666667;1e-11;HALTED_BAD_RESULT
9.999883673960033;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.27777777778;1e-11;HALTED_BAD_RESULT
9.999829481221418;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.38888888889;1e-11;HALTED_BAD_RESULT
9.999857708198798;300;10;0.7;2;0.55333;100;3;0.11;1.94444444444;2.5;1e-11;HALTED_BAD_RESULT
9.999927023587029;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.5;1e-11;HALTED_BAD_RESULT
9.999899945813787;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.61111111111;1e-11;HALTED_BAD_RESULT
9.999928278702768;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.72222222222;1e-11;HALTED_BAD_RESULT
9.999937997696584;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.83333333333;1e-11;HALTED_BAD_RESULT
9.999912875859986;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;1.94444444444;1e-11;HALTED_BAD_RESULT
9.999841318546062;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.05555555556;1e-11;HALTED_BAD_RESULT
9.999937797545977;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.16666666667;1e-11;HALTED_BAD_RESULT
9.999926411711265;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.27777777778;1e-11;HALTED_BAD_RESULT
9.999863952762167;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.38888888889;1e-11;HALTED_BAD_RESULT
9.9999382505052;300;10;0.7;2;0.55333;100;3;0.11;2.05555555556;2.5;1e-11;HALTED_BAD_RESULT
9.999898394208401;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.5;1e-11;HALTED_BAD_RESULT
9.999890252477996;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.61111111111;1e-11;HALTED_BAD_RESULT
9.999925523244537;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.72222222222;1e-11;HALTED_BAD_RESULT
9.999823688383486;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.83333333333;1e-11;HALTED_BAD_RESULT
9.999942813505386;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;1.94444444444;1e-11;HALTED_BAD_RESULT
9.99990413244801;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.05555555556;1e-11;HALTED_BAD_RESULT
9.999901321858317;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.16666666667;1e-11;HALTED_BAD_RESULT
9.999899172687748;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.27777777778;1e-11;HALTED_BAD_RESULT
9.999885776766583;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.38888888889;1e-11;HALTED_BAD_RESULT
9.999907528611534;300;10;0.7;2;0.55333;100;3;0.11;2.16666666667;2.5;1e-11;HALTED_BAD_RESULT
9.99971991324853;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.5;1e-11;HALTED_BAD_RESULT
9.999938350375794;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.61111111111;1e-11;HALTED_BAD_RESULT
9.999916688698079;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.72222222222;1e-11;HALTED_BAD_RESULT
9.99988229640985;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.83333333333;1e-11;HALTED_BAD_RESULT
9.999896651655508;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;1.94444444444;1e-11;HALTED_BAD_RESULT
9.999874395668373;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.05555555556;1e-11;HALTED_BAD_RESULT
9.999870913816707;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.16666666667;1e-11;HALTED_BAD_RESULT
9.999892033299227;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.27777777778;1e-11;HALTED_BAD_RESULT
9.99989856660363;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.38888888889;1e-11;HALTED_BAD_RESULT
9.99991398451229;300;10;0.7;2;0.55333;100;3;0.11;2.27777777778;2.5;1e-11;HALTED_BAD_RESULT
9.999929370480139;300;10;0.7;2;0.55333;100;3;0.11;2.38888888889;1.5;1e-11;HALTED_BAD_RESULT
