% function evaluation | noise-free fitness - Fopt (-6,211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1,532157717e+08 +1,532157717e+08 +1,532151506e+08 +1,532151506e+08 +2,3115e+00 +4,0145e+00 -3,1774e-02 +4,8588e+00 +3,5712e+00 +4,8742e+00 -2,7184e+00 -4,2521e+00 +2,4316e+00 +4,4958e+00
9 +7,525047879e+07 +7,525047879e+07 +7,524985768e+07 +7,524985768e+07 -1,1112e+00 +3,6592e+00 +2,6417e-01 +3,9918e+00 +3,8393e+00 -1,9247e+00 -1,2595e+00 -8,6029e-01 +2,3921e+00 +3,7291e+00
11 +5,069600573e+07 +5,069600573e+07 +5,069538462e+07 +5,069538462e+07 +9,1045e-01 +4,7730e+00 +6,1814e-01 -2,4119e+00 -3,9949e+00 +3,1517e-01 -3,4012e+00 -2,7712e+00 +5,9502e-01 +6,7232e-01
127 +3,587704505e+07 +3,587704505e+07 +3,587642394e+07 +3,587642394e+07 -2,5041e+00 +2,5010e+00 -1,6342e+00 -4,7675e+00 -3,5875e+00 -1,4789e+00 -7,5762e-01 -4,9004e-01 +5,1047e-01 -1,3688e+00
345 +2,160595471e+07 +2,160595471e+07 +2,160533360e+07 +2,160533360e+07 -1,9856e+00 +2,5525e+00 -1,5684e+00 -5,0266e+00 -3,8506e+00 -1,4789e+00 +1,5255e+00 -4,9004e-01 +5,1047e-01 -1,3688e+00
610 +1,529634230e+07 +1,529634230e+07 +1,529572119e+07 +1,529572119e+07 -1,0971e+00 +2,4829e+00 -3,5063e-01 -4,4491e+00 -4,0963e+00 -1,4789e+00 -1,9782e-02 -4,9004e-01 +5,1047e-01 +5,2240e-01
802 +8,800106225e+06 +8,800106225e+06 +8,799485115e+06 +8,799485115e+06 -1,0971e+00 +2,4829e+00 -3,0635e-01 -4,4491e+00 -2,7431e+00 -1,8604e+00 +6,3929e-02 -4,9004e-01 +5,1047e-01 +5,2240e-01
975 +4,700628329e+06 +4,700628329e+06 +4,700007219e+06 +4,700007219e+06 -1,0971e+00 +2,4829e+00 -7,1890e-02 -4,4491e+00 -1,4393e+00 -1,8914e+00 +1,6323e+00 -4,9004e-01 +5,1047e-01 +5,2240e-01
1147 +3,845201501e+06 +3,845201501e+06 +3,844580391e+06 +3,844580391e+06 -1,0971e+00 +2,4829e+00 -7,1890e-02 -4,5504e+00 -1,4393e+00 -2,3350e+00 +8,2692e-01 -4,9004e-01 +5,1047e-01 +2,0358e-01
1227 +1,724195202e+06 +1,724195202e+06 +1,723574092e+06 +1,723574092e+06 -1,1100e+00 +3,4543e+00 -7,1890e-02 -4,5504e+00 -1,4393e+00 -2,3350e+00 +8,2692e-01 -4,9004e-01 +5,1047e-01 -1,9625e-01
1286 +1,510753078e+06 +1,510753078e+06 +1,510131968e+06 +1,510131968e+06 -1,1100e+00 +3,4543e+00 -7,1890e-02 -4,2587e+00 -1,4393e+00 -2,3350e+00 +8,2692e-01 -1,0077e+00 +5,1047e-01 -1,9625e-01
1472 +9,195824564e+05 +9,195824564e+05 +9,189613464e+05 +9,189613464e+05 -1,1100e+00 +3,4543e+00 +4,7951e-01 -4,5504e+00 -1,4393e+00 -2,3350e+00 +1,1125e+00 -8,9401e-01 +5,1047e-01 -1,9625e-01
1699 +5,760733146e+05 +5,760733146e+05 +5,754522046e+05 +5,754522046e+05 -7,1938e-01 +3,6232e+00 +4,7951e-01 -4,5504e+00 -1,4393e+00 -2,3350e+00 +1,2178e+00 -8,9401e-01 +5,1047e-01 -1,9625e-01
1908 +3,964541191e+05 +3,964541191e+05 +3,958330091e+05 +3,958330091e+05 -7,1938e-01 +3,6232e+00 +4,7951e-01 -4,5504e+00 -1,4253e+00 -2,3350e+00 +1,7798e+00 -8,9401e-01 +5,1047e-01 -1,9625e-01
2720 +2,489584730e+05 +2,489584730e+05 +2,483373630e+05 +2,483373630e+05 -7,8015e-01 +3,6203e+00 +6,6271e-01 -4,0912e+00 -1,5104e+00 -2,3350e+00 +1,4788e+00 -8,9401e-01 +5,1047e-01 -2,1521e-01
3143 +1,470870694e+05 +1,470870694e+05 +1,464659594e+05 +1,464659594e+05 -7,8015e-01 +3,8538e+00 +6,6271e-01 -4,3475e+00 -1,5118e+00 -2,3350e+00 +1,5345e+00 -6,0745e-01 +5,1047e-01 -2,1521e-01
4784 +7,364925208e+04 +7,364925208e+04 +7,302814208e+04 +7,302814208e+04 -8,2607e-01 +3,8500e+00 +6,6271e-01 -4,2651e+00 -1,3072e+00 -2,5035e+00 +1,5690e+00 -6,7620e-01 +5,9478e-01 -2,1521e-01
5201 +4,300034931e+04 +4,300034931e+04 +4,237923931e+04 +4,237923931e+04 -8,2607e-01 +3,8934e+00 +6,6271e-01 -4,0950e+00 -1,3072e+00 -2,5035e+00 +1,5690e+00 -7,6633e-01 +5,9478e-01 -2,1521e-01
6275 +3,293829793e+04 +3,293829793e+04 +3,231718793e+04 +3,231718793e+04 -6,3969e-01 +3,8987e+00 +6,6271e-01 -4,1069e+00 -1,3072e+00 -2,5035e+00 +1,5690e+00 -7,6633e-01 +5,9478e-01 -2,1521e-01
6488 +1,438181442e+04 +1,438181442e+04 +1,376070442e+04 +1,376070442e+04 -7,6199e-01 +3,8987e+00 +6,6271e-01 -4,1069e+00 -1,3072e+00 -2,5035e+00 +1,5690e+00 -7,6633e-01 +7,8393e-01 -2,1521e-01
7208 +8,420498754e+03 +8,420498754e+03 +7,799388754e+03 +7,799388754e+03 -7,1096e-01 +3,9650e+00 +6,6271e-01 -4,1069e+00 -1,3072e+00 -2,5035e+00 +1,5690e+00 -7,6633e-01 +6,7077e-01 -2,1521e-01
7961 +5,821372899e+03 +5,821372899e+03 +5,200262899e+03 +5,200262899e+03 -7,1096e-01 +3,9423e+00 +6,6271e-01 -4,1069e+00 -1,3457e+00 -2,5035e+00 +1,5690e+00 -7,6549e-01 +7,3601e-01 -2,1521e-01
